Model,Parameter,Value
Logistic_Regression,max_iter,1000
Logistic_Regression,solver,lbfgs
Logistic_Regression,multi_class,auto
KNN,n_neighbors,5
KNN,weights,uniform
KNN,algorithm,auto
SVC,kernel,rbf
SVC,C,1.0
SVC,gamma,scale
SVC,probability,True
Decision_Tree,max_depth,12
Decision_Tree,criterion,gini
Decision_Tree,splitter,best
Random_Forest,n_estimators,200
Random_Forest,max_depth,15
Random_Forest,min_samples_split,2
Extra_Trees,n_estimators,200
Extra_Trees,max_depth,15
Extra_Trees,min_samples_split,2
Gradient_Boosting,n_estimators,200
Gradient_Boosting,learning_rate,0.1
Gradient_Boosting,max_depth,3
AdaBoost,n_estimators,100
AdaBoost,learning_rate,1.0
AdaBoost,algorithm,SAMME.R
Naive_Bayes,var_smoothing,1e-09
LDA,solver,svd
LDA,shrinkage,None
QDA,reg_param,0.0
QDA,store_covariance,False
XGBoost,n_estimators,200
XGBoost,max_depth,6
XGBoost,learning_rate,0.1
XGBoost,eval_metric,mlogloss
XGBoost,use_label_encoder,False
LightGBM,n_estimators,200
LightGBM,max_depth,-1
LightGBM,learning_rate,0.1
LightGBM,num_leaves,31
LightGBM,verbose,-1
CatBoost,iterations,200
CatBoost,depth,6
CatBoost,learning_rate,0.1
CatBoost,verbose,0
CatBoost,loss_function,MultiClass
MLP_DNN,hidden_layers,"[256, 128, 64]"
MLP_DNN,dropout,0.2
MLP_DNN,learning_rate,0.0003
MLP_DNN,batch_size,64
MLP_DNN,epochs,200
MLP_DNN,optimizer,Adam
MLP_DNN,activation,relu
MLP_DNN,output_activation,softmax
CNN_DNN,conv_filters,"[64, 64]"
CNN_DNN,kernel_size,3
CNN_DNN,dense_units,"[128, 64]"
CNN_DNN,dropout,0.2
CNN_DNN,learning_rate,0.0003
CNN_DNN,batch_size,64
CNN_DNN,epochs,200
CNN_DNN,optimizer,Adam
LSTM_DNN,lstm_units,"[128, 64]"
LSTM_DNN,dense_units,64
LSTM_DNN,dropout,0.3
LSTM_DNN,window_size,8
LSTM_DNN,learning_rate,0.0003
LSTM_DNN,batch_size,32
LSTM_DNN,epochs,200
LSTM_DNN,optimizer,Adam
