Model,Best_Params,Train_R2,Train_RMSE,Train_MAE,Val_R2,Test_R2,Test_RMSE,Test_MAE
KernelRidge,"{'alpha': 0.1, 'gamma': 0.01}",0.9852714801495962,68592.41717962528,45162.71124970243,0.980062821768241,0.9836765704633684,73122.30875200739,47644.74888289263
HistGradientBoostingRegressor,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_depth': 12, 'max_leaf_nodes': 31}",0.9926069667848536,48596.82363818531,33202.12779558055,0.9726708140919764,0.9823833737873051,75963.60392195737,46974.86947310047
ExtraTreesRegressor,"{'max_depth': 15, 'min_samples_leaf': 1, 'n_estimators': 100}",0.997549662098567,27977.54121499916,19272.99172166185,0.9780634880473646,0.9817467122862832,77324.07626908606,48555.91889309732
GradientBoostingRegressor,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9876531455512535,62802.18004226947,42877.012593737076,0.9711469500867649,0.9787772075896055,83376.84434690527,51739.21823839887
RandomForestRegressor,"{'max_depth': 15, 'min_samples_leaf': 1, 'n_estimators': 200}",0.9952237468977418,39060.7179706909,23833.22156561262,0.9607026488821377,0.968636872815126,101357.02866107103,53699.53873025102
BayesianRidge,"{'alpha_1': 1e-06, 'alpha_2': 1e-06}",0.9577819373845657,116130.34204562275,62642.78959183974,0.9534987705739641,0.9616570486236666,112069.37767125762,63039.30417863264
Lasso,{'alpha': 1.0},0.9577977198702842,116108.63336602294,62677.58570167025,0.9534258971338604,0.9616542910366529,112073.4075580181,63132.23948912083
LassoLars,{'alpha': 0.1},0.9577984460476993,116107.63441727305,62680.988057646755,0.9534225693006503,0.9616535644176342,112074.4694015184,63140.55736538989
OrthogonalMatchingPursuit,{'n_nonzero_coefs': 10},0.9573336511736952,116745.27034650123,62839.94107561478,0.9530896371928815,0.9614201418505856,112415.06193989879,62551.12773138236
Lars,{'n_nonzero_coefs': 10},0.9564556934650412,117940.30448240913,63034.82477110327,0.9553222006171195,0.9609033890522309,113165.42197471349,62374.406624638046
Ridge,{'alpha': 10.0},0.9562845691249826,118171.82346310755,63159.96953513839,0.9552991122959679,0.9607500298197207,113387.15444870603,62651.32799680752
RANSACRegressor,"{'max_trials': 100, 'min_samples': 0.7}",0.9561066267222099,118412.08671781108,62097.01433533318,0.9547246016156833,0.9607382156642411,113404.21780797605,62711.468422755584
SGDRegressor,"{'alpha': 0.001, 'penalty': 'elasticnet'}",0.9557988422397217,118826.51984842701,64077.32612486481,0.9552344267682896,0.9606645866863509,113510.5034209336,63529.27512125454
ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.7}",0.9553264149601629,119459.84812743744,63549.8964453127,0.9553060450281867,0.9600492427910002,114394.90933560638,62756.82230442465
DecisionTreeRegressor,"{'max_depth': 8, 'min_samples_leaf': 2}",0.9830016088221404,73688.62706266367,47272.09501599337,0.9503262643853454,0.9583086381413186,116860.36318705241,60418.0566121017
HuberRegressor,"{'alpha': 0.0001, 'epsilon': 1.5}",0.9510514605257828,125045.02689193773,62668.24974099943,0.9505624918001822,0.9567045017816186,119087.33093318231,62317.61120089798
PassiveAggressiveRegressor,{'C': 1.0},0.9484024967969952,128383.99882492553,63284.67827641829,0.9473343856497682,0.9546542091247138,121874.4534974609,62741.06988469882
KNeighborsRegressor,"{'n_neighbors': 5, 'weights': 'distance'}",0.9999999999999986,0.021795198827599182,0.008674575334491848,0.9366010314181972,0.9545093700320223,122068.9380534909,81946.73833946271
AdaBoostRegressor,"{'learning_rate': 0.5, 'n_estimators': 50}",0.9506475836373427,125559.84356682007,86122.80242873557,0.9371940023510869,0.9507851697081232,126967.38844078958,86449.9469340063
PoissonRegressor,{'alpha': 0.0001},0.9028936389016594,176124.7523002136,124652.96787884516,0.8942381033530419,0.9002626913244193,180747.79726803108,127835.78248151844
TweedieRegressor,"{'alpha': 0.01, 'power': 1.5}",0.8774624223199039,197847.7887981221,131529.06565607383,0.8728693522729699,0.8706092214706821,205871.32223720982,135558.090509619
GammaRegressor,{'alpha': 0.01},0.7905331578942416,258674.84531206146,150234.34863188537,0.8584540512572073,0.784858740581134,265464.2506953968,152647.25234235742
NuSVR,"{'C': 10.0, 'nu': 0.5}",-0.004730734489080568,566528.0258708519,460964.37092109624,-0.001576577092350595,-0.008672406287708379,574803.3108262682,471407.5376570397
SVR,"{'C': 10.0, 'gamma': 'scale'}",-0.01357530072173363,569016.1132547226,459591.16972571553,-0.010511242406080257,-0.018789960102110648,577678.9187203682,470330.5867261933
LinearSVR,"{'C': 10.0, 'epsilon': 0.0}",-3.1107610506091232,1145928.8986234786,996056.7804791505,-3.2391778447516124,-3.096642456937734,1158399.1273353186,1006299.1311476922
