Rank,Model,Family,R2,RMSE,MAE
1,CatBoostRegressor,Ensemble,0.9809985324257167,78892.87145312864,51876.6770626629
2,GradientBoostingRegressor,Ensemble,0.979856842174917,81228.41306170731,47222.199182953256
3,ExtraTreesRegressor,Ensemble,0.9796921828627377,81559.73629638924,50814.48876725026
4,LGBMRegressor,Ensemble,0.9790308780239398,82877.05569338931,47917.632379901006
5,XGBRegressor,Ensemble,0.9784830016218659,83952.77082723143,46806.07251602564
6,RandomForestRegressor,Ensemble,0.9664842532915853,104777.6468646543,56715.39617778214
7,BayesianRidge,Linear,0.9622504852128037,111198.74294626292,64849.42602635777
8,Lasso,Linear,0.9622088919745679,111259.98668040053,64837.23434426113
9,LassoLars,Linear,0.9621919189417354,111284.96884575345,65085.44860918863
10,LinearRegression,Linear,0.9621873024975776,111291.7626997214,65102.98938832319
