Model,Optimized_Hyperparameters,Val_R2,Test_R2
KernelRidge,"alpha=0.1, gamma=0.01",0.9839,0.9873
ExtraTreesRegressor,"max_depth=15, min_samples_leaf=1, n_estimators=200",0.9777,0.9832
HistGradientBoostingRegressor,"l2_regularization=0.0, learning_rate=0.1, max_depth=12, max_leaf_nodes=63",0.9766,0.9817
GradientBoostingRegressor,"learning_rate=0.1, max_depth=3, n_estimators=200, subsample=1.0",0.9726,0.9782
RandomForestRegressor,"max_depth=20, min_samples_leaf=1, n_estimators=100",0.9607,0.9676
Ridge,alpha=1.0,0.9553,0.9622
BayesianRidge,"alpha_1=1e-06, alpha_2=1e-06",0.955,0.9621
Lasso,alpha=1.0,0.9549,0.9621
LassoLars,alpha=0.1,0.9549,0.9621
OrthogonalMatchingPursuit,n_nonzero_coefs=15,0.9538,0.9617
RANSACRegressor,"max_trials=100, min_samples=0.7",0.9553,0.9612
ElasticNet,"alpha=0.01, l1_ratio=0.7",0.9548,0.9599
SGDRegressor,"alpha=0.001, penalty=elasticnet",0.9526,0.9589
HuberRegressor,"alpha=0.0001, epsilon=1.5",0.948,0.9568
KNeighborsRegressor,"n_neighbors=5, weights=distance",0.9423,0.9547
PassiveAggressiveRegressor,C=1.0,0.9439,0.9523
Lars,n_nonzero_coefs=10,0.9513,0.9496
DecisionTreeRegressor,"max_depth=8, min_samples_leaf=5",0.949,0.9472
AdaBoostRegressor,"learning_rate=0.5, n_estimators=50",0.9287,0.9439
PoissonRegressor,alpha=0.0001,0.8971,0.9008
TweedieRegressor,"alpha=0.01, power=1.5",0.8777,0.8731
GammaRegressor,alpha=0.01,0.8604,0.8132
NuSVR,"C=10.0, nu=0.5",-0.0014,-0.0085
SVR,"C=10.0, gamma=scale",-0.0103,-0.0185
LinearSVR,"C=10.0, epsilon=0.0",-3.2392,-3.1007
