Model,Split,R2,RMSE,MAE,MSE
MLP_DNN,Train,0.9511228312789877,117233.33025870835,74528.99672397047,13743653723.547382
MLP_DNN,Validation,0.9169279408669788,193422.46937089122,108709.3424504662,37412251657.53335
MLP_DNN,Test,0.8778463202463512,172182.4368654767,103825.46047202797,29646791564.93387
CNN_DNN,Train,-3.3253350321194555,1102828.4422302037,966976.2775426508,1216230572991.8977
CNN_DNN,Validation,-3.3536807729823668,1400256.9169293798,1228967.3033411487,1960719433408.5723
CNN_DNN,Test,-5.030270356591973,1209773.214587563,1104921.0773191082,1463551230733.526
LSTM_DNN,Train,-3.3209686279296875,1090816.510678125,956298.9375,1189880659968.0
LSTM_DNN,Validation,-3.35368013381958,1400256.8175874024,1228967.5,1960719155200.0
LSTM_DNN,Test,-5.030270099639893,1209773.1736354546,1104921.25,1463551131648.0
