iter	RMSE
0	544114.1518
1	519492.999922	497188.581433	476106.214
44	456709.614855	437398.308666	419114.539777	401939.575888	385929.193999	370523.0271110	356845.4101111	343325.015112	329878.1723
13	317049.6739
14	305697.4276
15	293111.4411116	282758.5688117	272730.7777118	263571.26
19	254948.4083
20	246430.6833
21	238315.0941
22	230807.6757
23	224143.7459
24	217243.8786
25	210357.3067
26	204331.0426
27	198662.245
28	193624.4859
29	188628.6971
30	183946.0206
31	178399.5429
32	174327.4819
33	170442.5613
34	166104.9122
35	162847.1606
36	159077.2808
37	155541.8893338	152458.1836
39	149036.9973
40	146204.1189
41	143916.3802
42	141803.4142
43	139225.7861
44	137230.9362
45	135224.5254
46	132910.8215
47	130891.2951
48	129374.1256
49	128152.8834
50	126357.1554
51	124720.1337
52	122424.5019
53	120943.1129
54	119162.0861
55	117810.4962
56	116361.867
57	114329.6658
58	113166.1161
59	111338.3165
60	110501.0297
61	109029.7867
62	108138.8135
63	106956.5484
64	106216.572
65	105363.4645
66	104264.5265
67	103421.0813
68	102537.8734
69	102076.2529
70	101015.044
71	100274.9973
72	99269.41978
73	98623.75433
74	98134.20489
75	97461.53302
76	97006.25952
77	96516.04378
78	96042.49955
79	95633.55738
80	94975.13429
81	93846.25376
82	93274.23551
83	92674.44495
84	92121.90176
85	91641.82058
86	91275.64142
87	90682.22687
88	90148.31398
89	89634.25812
90	89350.32795
91	88852.83632
92	88375.22346
93	87909.64463
94	87473.0995	895	86994.19736
96	86626.5897	897	86142.98	84098	85750.99	83499	85180.100	83100	84656.101	82101	83982.102	82102	83659103	817103	83402104	81104	83021.105	80105	82772.106	80106	82516.24403
107	82267.108	79108	82032.4206
109	81760.87391
110	81434.11916
111	81156.09407
112	80910.2113	7113	80629.6114	7114	80328.3115	7115	80044.7116	7116	79922.4117	7117	79749.7118	7118	79378.2119	7119	79144.7120	7120	78764.7121	7121	78563.8122	7122	78213.8123	7123	77934.5124	7124	77707.6125	7125	77530.9126	7126	77236.14065
127	76978.4625
128	76757.18129	129	76288.16130	130	76047.1131	7131	75751.12021
132	75618.89164
133	75446.72841
134	75210.70898
135	74974.51515
136	74740.86834
137	74451.57172
138	74037.33194
139	73791.1771
140	73614.08063
141	73416.12486
142	73301.36746
143	73140.73622
144	72990.49642
145	72878.75534
146	72603.58667
147	72451.05806
148	72228.69743
149	71904.32218
150	71749.34783
151	71537.32079
152	71369.4825
153	71151.4882
154	70860.8286
155	70674.76275
156	70595.09787
157	70455.70796
158	70265.31004
159	70006.23422
160	69760.43259
161	69608.4739
162	69459.49765
163	69331.73075
164	69150.88247
165	69011.72701
166	68867.87335
167	68616.74258
168	68517.79759
169	68345.36468
170	68132.12766
171	67984.59939
172	67800.88024
173	67572.16206
174	67465.71877
175	67382.86715
176	67156.83214
177	66942.42546
178	66803.68669
179	66569.78206
180	66491.59647
181	66297.04569
182	66127.5881
183	65933.85434
184	65819.74321
185	65696.29327
186	65481.22243
187	65267.17742
188	65086.3051
189	64934.66325
190	64866.84154
191	64704.2449
192	64581.65519
193	64387.61765
194	64246.6155
195	64070.38239
196	63963.105
197	63799.55662
198	63702.64455
199	63460.93464
200	63318.33916
201	63141.25182
202	62988.67308
203	62824.4927
204	62658.05083
205	62559.84384
206	62419.5696
207	62299.81202
208	62183.59261
209	62002.40504
210	61863.5456
211	61715.54507
212	61520.0704
213	61352.17763
214	61224.04654
215	61136.27295
216	60992.84327
217	60867.69531
218	60756.77399
219	60617.04294
220	60446.57439
221	60301.42812
222	60155.6011
223	59988.53799
224	59799.01483
225	59699.56398
226	59635.17089
227	59535.53632
228	59404.6229	5229	59277.53793
230	59127.29575
231	58991.22833
232	58897.28715
233	58751.56505
234	5865235	5822235	5854236	5808236	5842237	5794237	5830238	5782238	5814239	5765239	5800240	5749240	5786241	5740241	5773242	5721242	5765243	5707243	5749244	5694244	5736245	5685245	5724246	5674246	5713247	566247	56956248	565248	56836249	563249	5674250	5625250	5661251	5613251	565252	56019252	56413.22379
253	56344.67394
254	56240.67802
255	56124.37358
256	56002.92305
257	55905.01226
258	55819.34909
259	55667.95183
260	555261	55019261	554262	54880262	55263	54806.72123
264	54716.97616
265	54615.20562
266	54539.266	54267	54439.267	54268	54309.12148
269	54210.72955
270	54135.270	54271	54066.58145
272	54023.272	54273	53901.273	54274	53782.15388
275	53654.2672
276	53514.77334
277	53419.13243
278	53361.99026
279	53258.98993
280	53136.76009
281	53012.22713
282	52933.04851
283	52870.29335
284	52736.35677
285	52619.2777
286	52533.58964
287	52450.45993
288	52365.67174
289	52255.24338
290	52165.27782
291	52066.25339
292	52006.97597
293	51945.76481
294	51847.34786
295	51728.18802
296	51604.1361
297	51528.70027
298	51414.6367
299	51340.17699
5.66077
36.46763
