Rank,Model,R2,RMSE,MAE
1,CatBoostRegressor,0.9809985324257167,78892.87145312864,51876.6770626629
2,GradientBoostingRegressor,0.979856842174917,81228.41306170731,47222.199182953256
3,ExtraTreesRegressor,0.9796921828627377,81559.73629638924,50814.48876725025
4,LGBMRegressor,0.9790308780239398,82877.05569338931,47917.632379901006
5,XGBRegressor,0.9784830016218659,83952.77082723143,46806.07251602564
6,RandomForestRegressor,0.9664842532915853,104777.6468646543,56715.396177782124
7,BayesianRidge,0.9622504852128037,111198.74294626292,64849.42602635777
8,Lasso,0.9622088919745679,111259.98668040053,64837.23434426113
9,LassoLars,0.9621919189417354,111284.96884575345,65085.44860918863
10,LinearRegression,0.9621873024975776,111291.7626997214,65102.98938832319
11,Ridge,0.960720249876607,113430.16114077235,63305.17018872188
12,SGDRegressor,0.9596840062708817,114916.62835751571,65053.14544266071
13,HuberRegressor,0.9552766243969442,121035.1404894341,62675.52312986225
14,OrthogonalMatchingPursuit,0.9525625187175182,124653.6506142063,67159.49186765957
15,DecisionTreeRegressor,0.9517212894808247,125754.06190754283,63070.49912876817
16,PassiveAggressiveRegressor,0.9430518987436245,136578.96432226888,71112.28193153672
17,RANSACRegressor,0.9415959594895559,138313.83963033216,74655.98165633934
18,KNeighborsRegressor,0.94041403523041,139706.3603855712,94728.83053768454
19,AdaBoostRegressor,0.9296111093264084,151843.51592540165,118524.06907755994
20,TheilSenRegressor,0.9131430392707481,168673.36346796542,94985.5605476667
21,Lars,0.8275285643136253,237685.55019692547,163053.88091059765
22,ElasticNet,0.7600806619866336,280334.67402534856,223503.54819763452
23,SVR,0.04867327946691047,558224.686490259,451762.9870346908
24,GaussianProcessRegressor,-0.02011186849905866,578053.5744851804,350657.3029879581
25,KernelRidge,-2.3947006418111108,1054495.9889017139,1048632.2528676875
