Model,R2,RMSE,MAE,Training_Time_sec
LightGBM,0.9843533713980555,69918.77428422042,46853.94350854621,0.24188709259033203
XGBoost,0.9838396863137642,71057.23638395665,47518.69328223271,0.1606919765472412
LinearRegression,0.9838222817884879,71095.49011733917,48589.72668927836,0.001215219497680664
LassoLars,0.9838220972681719,71095.89556774692,48589.08557196614,0.0009150505065917969
BayesianRidge,0.9837918049736724,71162.42615057938,48512.1756519054,0.0009138584136962891
Lars,0.9836634295298925,71443.68788514349,49152.034729480605,0.0008399486541748047
Lasso,0.9836287082150088,71519.56984967455,48421.27577835275,0.0047092437744140625
Ridge,0.9828440060336582,73213.53248704504,48778.60223985749,0.0012137889862060547
RANSACRegressor,0.9826609580056053,73603.07665234455,49622.78613229969,0.00273895263671875
SGDRegressor,0.9805405215666626,77973.85698487537,51554.264288442384,0.01623082160949707
GradientBoosting,0.9796572702855896,79723.80783937556,52305.582805692575,0.2599821090698242
ExtraTrees,0.9796407703780583,79756.13311842727,52452.79022075467,0.05913686752319336
RandomForest,0.9784167807530524,82118.59882403973,54218.64377274629,0.09388089179992676
CatBoost,0.9772763365922671,84260.2208531193,56882.30602901682,0.050048828125
OrthogonalMatchingPursuit,0.974056429299534,90032.28941777766,58920.174372939335,0.0004978179931640625
HuberRegressor,0.9734149852723766,91138.4990345957,58169.535521101825,0.00953817367553711
AdaBoost,0.9679652134561518,100044.75765124672,74264.95636132653,0.1307368278503418
ElasticNet,0.9662076115032672,102752.61044091303,67920.0718372225,0.00131988525390625
PassiveAggressiveRegressor,0.9628432187328487,107746.32400423431,68475.1114983801,0.04270124435424805
DecisionTree,0.9612503870042421,110031.51785582287,70815.22890760163,0.007476091384887695
TheilSenRegressor,0.9515670172986472,123013.85454972199,75530.59231440298,0.4547610282897949
KNN_10,0.9377106814396164,139505.1399565668,105142.51055345911,0.0002579689025878906
KNN_5,0.9344804439914551,143076.69254357758,108569.78187421383,0.00029397010803222656
SVR_linear,-0.005194007999421935,560413.211195349,458580.7096815359,0.02177596092224121
SVR_rbf,-0.023365802255111756,565456.068511904,462843.64997370547,0.025330066680908203
KernelRidge_linear,-2.6394275341367783,1066350.4522486662,1063836.4216413246,0.019124984741210938
